product,binary file,Series,download_link,file_name,publish_date,bin_file_size[B],comment
MG1S,MG1S_FW_V01.00.00.02.bin,The DJI Agras MG-1 is an Octocopter,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/MG1S/MG1S_FW_V01.00.00.02.bin,MG1S_FW_V01.00.00.02.bin,5/12/2016,116118,
MG1S_RC,MG1SRC_FW_V01.00.00.01.bin,MG-1 RC,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/MG1S/MG1SRC_FW_V01.00.00.01.bin,MG1SRC_FW_V01.00.00.01.bin,29/11/2016,3597071,
P3S,P3S_FW_V01.01.0008.bin,DJI Phantom 3 Advance,http://download.dji-innovations.com/downloads/phantom_3/en/Phantom_3_Advanced_Firmware_v1.1.8_en.zip,Phantom_3_Advanced_Firmware_v1.1.8_en.zip,,,
P3S,P3S_FW_V01.01.0009.bin,DJI Phantom 3 Advance,http://download.dji-innovations.com/downloads/phantom_3/en/Phantom_3_Advanced_Firmware_v1.1.9_en.zip,Phantom_3_Advanced_Firmware_v1.1.9_en.zip,,,
P3S,P3S_FW_V01.02.0007.bin,DJI Phantom 3 Advance,http://download.dji-innovations.com/downloads/phantom_3/en/Phantom_3_Advanced_Firmware_v1.2.7_en.zip,Phantom_3_Advanced_Firmware_v1.2.7_en.zip,,,
P3S,P3S_FW_V01.02.0008.bin,DJI Phantom 3 Advance,http://download.dji-innovations.com/downloads/phantom_3/en/Phantom_3_Advanced_Firmware_v1.2.8_en.zip,Phantom_3_Advanced_Firmware_v1.2.8_en.zip,,,
P3S,P3S_FW_V01.03.0020.bin,DJI Phantom 3 Advance,http://dl.djicdn.com/downloads/phantom_3/en/Phantom_3_Advanced_Firmware_v1.3.20__en.zip,Phantom_3_Advanced_Firmware_v1.3.20__en.zip,,,
P3S,P3S_FW_V01.04.0010.bin,DJI Phantom 3 Advance,http://download.dji-innovations.com/downloads/phantom_3/en/Phantom_3_Advanced_Firmware_v1.4.0010_en.zip,Phantom_3_Advanced_Firmware_v1.4.0010_en.zip,,,
P3S,P3S_FW_V01.05.0030.bin,DJI Phantom 3 Advance,http://dl.djicdn.com/downloads/phantom_3/P3S_FW_V01.05.0030.zip,P3S_FW_V01.05.0030.zip,,,
P3S,P3S_FW_V01.06.0040.bin,DJI Phantom 3 Advance,http://dl.djicdn.com/downloads/phantom_3/P3S_FW_V01.06.0040.zip,P3S_FW_V01.06.0040.zip,,,
P3S,P3S_FW_V01.07.0060.bin,DJI Phantom 3 Advance,http://dl.djicdn.com/downloads/phantom_3/P3S_FW_V01.07.0060.zip,P3S_FW_V01.07.0060.zip,,,
P3S,P3S_FW_V01.08.0080.bin,DJI Phantom 3 Advance,https://dl.djicdn.com/downloads/phantom_3/P3S_FW_V01.08.0080.zip,P3S_FW_V01.08.0080.zip,,,
P3S,P3S_FW_V01.09.0060.bin,DJI Phantom 3 Advance,https://dl.djicdn.com/downloads/phantom_3/P3S_FW_V01.09.0060.zip,P3S_FW_V01.09.0060.zip,,,
